kecamatan,tahun,jumlah_kejahatan
Kediri,2019,875.0
Kediri,2020,558.0
Kediri,2021,506.0
Kediri,2022,1047.0
Blitar,2019,903.0
Blitar,2020,458.0
Blitar,2021,422.0
Blitar,2022,1217.0
Malang,2019,896.0
Malang,2020,1006.0
Malang,2021,494.0
Malang,2022,1603.0
Probolinggo,2019,406.0
Probolinggo,2020,417.0
Probolinggo,2021,287.0
Probolinggo,2022,886.0
Pasuruan,2019,271.0
Pasuruan,2020,415.0
Pasuruan,2021,528.0
Pasuruan,2022,893.0
Mojokerto,2019,341.0
Mojokerto,2020,210.0
Mojokerto,2021,417.0
Mojokerto,2022,1353.0
Madiun,2019,816.0
Madiun,2020,388.0
Madiun,2021,65.0
Madiun,2022,1132.0
Surabaya,2019,3377.0
Surabaya,2020,1647.0
Surabaya,2021,1648.0
Surabaya,2022,8759.0
Batu,2019,256.0
Batu,2020,70.0
Batu,2021,147.0
Batu,2022,413.0
