_id,kecamatan,tahun
1,Asemrowo,2024
2,Benowo,2024
3,Bubutan,2024
4,Bulak,2024
5,Dukuh Pakis,2024
6,Gayungan,2024
7,Genteng,2024
8,Gubeng,2024
9,Gunung Anyar,2024
10,Jambangan,2024
11,Karang Pilang,2024
12,Kenjeran,2024
13,Krembangan,2024
14,Lakarsantri,2024
15,Mulyorejo,2024
16,Pabean Cantikan,2024
17,Pakal,2024
18,Rungkut,2024
19,Sambikerep,2024
20,Sawahan,2024
21,Semampir,2024
22,Simokerto,2024
23,Sukolilo,2024
24,Sukomanunggal,2024
25,Tambaksari,2024
26,Tandes,2024
27,Tegalsari,2024
28,Tenggilis,2024
29,Wiyung,2024
30,Wonocolo,2024
31,Wonokromo,2024
1,Asemrowo,2024
2,Benowo,2024
3,Bubutan,2024
4,Bulak,2024
5,Dukuh Pakis,2024
6,Gayungan,2024
7,Genteng,2024
8,Gubeng,2024
9,Gunung Anyar,2024
10,Jambangan,2024
11,Karang Pilang,2024
12,Kenjeran,2024
13,Krembangan,2024
14,Lakarsantri,2024
15,Mulyorejo,2024
16,Pabean Cantikan,2024
17,Pakal,2024
18,Rungkut,2024
19,Sambikerep,2024
20,Sawahan,2024
21,Semampir,2024
22,Simokerto,2024
23,Sukolilo,2024
24,Sukomanunggal,2024
25,Tambaksari,2024
26,Tandes,2024
27,Tegalsari,2024
28,Tenggilis,2024
29,Wiyung,2024
30,Wonocolo,2024
31,Wonokromo,2024
1,Asemrowo,2024
2,Benowo,2024
3,Bubutan,2024
4,Bulak,2024
5,Dukuh Pakis,2024
6,Gayungan,2024
7,Genteng,2024
8,Gubeng,2024
9,Gunung Anyar,2024
10,Jambangan,2024
11,Karang Pilang,2024
12,Kenjeran,2024
13,Krembangan,2024
14,Lakarsantri,2024
15,Mulyorejo,2024
16,Pabean Cantikan,2024
17,Pakal,2024
18,Rungkut,2024
19,Sambikerep,2024
20,Sawahan,2024
21,Semampir,2024
22,Simokerto,2024
23,Sukolilo,2024
24,Sukomanunggal,2024
25,Tambaksari,2024
26,Tandes,2024
27,Tegalsari,2024
28,Tenggilis,2024
29,Wiyung,2024
30,Wonocolo,2024
31,Wonokromo,2024
1,Asemrowo,2024
2,Benowo,2024
3,Bubutan,2024
4,Bulak,2024
5,Dukuh Pakis,2024
6,Gayungan,2024
7,Genteng,2024
8,Gubeng,2024
9,Gunung Anyar,2024
10,Jambangan,2024
11,Karang Pilang,2024
12,Kenjeran,2024
13,Krembangan,2024
14,Lakarsantri,2024
15,Mulyorejo,2024
16,Pabean Cantikan,2024
17,Pakal,2024
18,Rungkut,2024
19,Sambikerep,2024
20,Sawahan,2024
21,Semampir,2024
22,Simokerto,2024
23,Sukolilo,2024
24,Sukomanunggal,2024
25,Tambaksari,2024
26,Tandes,2024
27,Tegalsari,2024
28,Tenggilis,2024
29,Wiyung,2024
30,Wonocolo,2024
31,Wonokromo,2024
1,Asemrowo,2024
2,Benowo,2024
3,Bubutan,2024
4,Bulak,2024
5,Dukuh Pakis,2024
6,Gayungan,2024
7,Genteng,2024
8,Gubeng,2024
9,Gunung Anyar,2024
10,Jambangan,2024
11,Karang Pilang,2024
12,Kenjeran,2024
13,Krembangan,2024
14,Lakarsantri,2024
15,Mulyorejo,2024
16,Pabean Cantikan,2024
17,Pakal,2024
18,Rungkut,2024
19,Sambikerep,2024
20,Sawahan,2024
21,Semampir,2024
22,Simokerto,2024
23,Sukolilo,2024
24,Sukomanunggal,2024
25,Tambaksari,2024
26,Tandes,2024
27,Tegalsari,2024
28,Tenggilis,2024
29,Wiyung,2024
30,Wonocolo,2024
31,Wonokromo,2024
1,Asemrowo,2024
2,Benowo,2024
3,Bubutan,2024
4,Bulak,2024
5,Dukuh Pakis,2024
6,Gayungan,2024
7,Genteng,2024
8,Gubeng,2024
9,Gunung Anyar,2024
10,Jambangan,2024
11,Karang Pilang,2024
12,Kenjeran,2024
13,Krembangan,2024
14,Lakarsantri,2024
15,Mulyorejo,2024
16,Pabean Cantikan,2024
17,Pakal,2024
18,Rungkut,2024
19,Sambikerep,2024
20,Sawahan,2024
21,Semampir,2024
22,Simokerto,2024
23,Sukolilo,2024
24,Sukomanunggal,2024
25,Tambaksari,2024
26,Tandes,2024
27,Tegalsari,2024
28,Tenggilis,2024
29,Wiyung,2024
30,Wonocolo,2024
31,Wonokromo,2024
